Level,Slope,Curvature,as_of_date
0.06236635763080196,-0.02129967895292655,0.002199978061005177,2010-01-29
0.062185426575455165,-0.021106065809477294,0.0016668354972154643,2010-02-26
0.06389532929931929,-0.018581122030916126,0.0011913735063355363,2010-03-31
0.06328259830271542,-0.01652698573276634,0.0005125726348729799,2010-04-30
0.059686930170900356,-0.015315117899982796,-0.0003227031638769859,2010-05-31
0.057321499144344465,-0.013553380343480538,-0.0010921511779792006,2010-06-30
0.05708155440400206,-0.012311587362029123,-0.0017656195737467786,2010-07-30
0.05378712839123416,-0.010940956388066332,-0.0024018800459596878,2010-08-31
0.05731040821333748,-0.009017276075437373,-0.002872635479088277,2010-09-30
0.05850853805017414,-0.010553727383863218,-0.0035952768266192007,2010-10-29
0.06106977856676517,-0.01198194189289143,-0.004342328065008099,2010-11-30
0.0627132352323741,-0.01284239290250987,-0.005115088620975311,2010-12-31
0.062282324872719744,-0.01269363440027577,-0.0059869888542789474,2011-01-31
0.06265491369767748,-0.012428842750996897,-0.006892035512310317,2011-02-28
0.06231160085400256,-0.012609260248661273,-0.007893538835834601,2011-03-31
0.06233648802033847,-0.011560778684837746,-0.008940582365448538,2011-04-29
0.06067307148088727,-0.010710337307581544,-0.010130750361262255,2011-05-31
0.061447386893447434,-0.011438999093232222,-0.011359542960409072,2011-06-30
0.059056761126308525,-0.011381263020795129,-0.01262235412830463,2011-07-29
0.055724067820089436,-0.012424151863122863,-0.013749524261384177,2011-08-31
0.05266761026026492,-0.011414551092394762,-0.014689288149492004,2011-09-30
0.054846202038276906,-0.011095652827276543,-0.015502347914729113,2011-10-31
0.05203354506495531,-0.012131708904418113,-0.01637245462551593,2011-11-30
0.05090236590776542,-0.010479842671002333,-0.017078883776043316,2011-12-30
0.05043058186154276,-0.009892162747712449,-0.017806010316622017,2012-01-31
0.053196332994754486,-0.00893738817631171,-0.018432954236738734,2012-02-29
0.0523078071197573,-0.010042854508829795,-0.019217318320212,2012-03-30
0.04972946087037249,-0.010365375934710118,-0.019943637276242474,2012-04-30
0.04362162553250013,-0.011457851274785203,-0.020680420614759058,2012-05-31
0.04518023622952963,-0.010161688837335994,-0.021233096892345517,2012-06-29
0.04438408225331711,-0.009435266623577944,-0.021916455894898296,2012-07-31
0.04427939784834907,-0.01007964476989452,-0.022628915782595713,2012-08-31
0.04355017292155381,-0.011547731533892908,-0.023313614967031323,2012-09-28
0.04456260731308054,-0.013294975280078909,-0.023930695842601837,2012-10-31
0.045900325724648895,-0.014844842118786452,-0.024504588387494898,2012-11-30
0.04700725234162363,-0.01832920779507655,-0.025080665621442833,2012-12-31
0.04923348263208795,-0.02019668125144045,-0.025507384409486123,2013-01-31
0.04907326472845431,-0.020503392523880424,-0.025846441182207445,2013-02-28
0.050004003069002476,-0.019346811099762988,-0.026082737361515916,2013-03-29
0.04802212189465806,-0.020765359588428272,-0.026450408038752017,2013-04-30
0.04985133620575509,-0.02372346418188598,-0.026711404010207763,2013-05-31
0.052545021651917954,-0.02635069116840576,-0.02687512503704976,2013-06-28
0.05182873306659257,-0.02863160515790955,-0.027048947476826877,2013-07-31
0.0545307075111759,-0.030575701922690168,-0.027080277746919065,2013-08-30
0.05462092539980717,-0.03108338017806117,-0.02708962064026552,2013-09-30
0.05612872684331519,-0.03166246506459804,-0.027102044672683078,2013-10-31
0.05721818540293,-0.03286921732982667,-0.027185047535683616,2013-11-29
0.05723471315027416,-0.03235628285415997,-0.02722760530001479,2013-12-31
0.05556194321326989,-0.03133658118030573,-0.02732321512725073,2014-01-31
0.05493904566853539,-0.03031983281831106,-0.02737593167559735,2014-02-28
0.05496631109262252,-0.028416423012025387,-0.027346157065515967,2014-03-31
0.05265690929399179,-0.026122084080248742,-0.027396033606057562,2014-04-30
0.05043136182415842,-0.02407279226943745,-0.02745711247507514,2014-05-30
0.04919137154354665,-0.02259076414852076,-0.027497750983478855,2014-06-30
0.04838347172986962,-0.02128518023337191,-0.02751585495604875,2014-07-31
0.046689531611505936,-0.019641113043119385,-0.02754172865401054,2014-08-29
0.04758694935008262,-0.01866457508044843,-0.027597228212791727,2014-09-30
0.04603574172635788,-0.01714012176637176,-0.027688666555761805,2014-10-31
0.04337614575253722,-0.014398349896441651,-0.02772710721529161,2014-11-28
0.03967659752089824,-0.011748417862548311,-0.027736835847936278,2014-12-31
0.03563980640289057,-0.009926308033411848,-0.02765132024071313,2015-01-30
0.03576072729833686,-0.011580596368124498,-0.027604318976929772,2015-02-27
0.034982661668498075,-0.012638383614445093,-0.027506992985593316,2015-03-31
0.03761041628837785,-0.01393028445312439,-0.027375912343011587,2015-04-30
0.03889231592546127,-0.01599896358414514,-0.027323235537446398,2015-05-29
0.041472372001920894,-0.017533574310594876,-0.027195270888149728,2015-06-30
0.03947767351601867,-0.01682805052790557,-0.027026753254816474,2015-07-31
0.038525582626405715,-0.016750906112436795,-0.026811554119522178,2015-08-31
0.03712329456648193,-0.015289256288694432,-0.02647892752193608,2015-09-30
0.036867055670511045,-0.01488341447339702,-0.026131971053657548,2015-10-30
0.03772801476740938,-0.013193423934099668,-0.02569521798365082,2015-11-30
0.03787621542823864,-0.012279719506132478,-0.025317959143495144,2015-12-31
0.034594873891982236,-0.00991985476542362,-0.024901835990273284,2016-01-29
0.032293498716024376,-0.007668343360098008,-0.02442151367567193,2016-02-29
0.032735020996966915,-0.006734421152158077,-0.02394202625364117,2016-03-31
0.032328726086338674,-0.006733004111901395,-0.023515774106297432,2016-04-29
0.02997880986653943,-0.00582816249618272,-0.02309831476239372,2016-05-31
0.027530790466606416,-0.003715446793195014,-0.02264299927028443,2016-06-30
0.026263300703239345,-0.003006870526461287,-0.022276799320842602,2016-07-29
0.026156990105056097,-0.0043350949955611486,-0.02200466660008479,2016-08-31
0.02769631101501703,-0.006220725834519454,-0.02172493128722439,2016-09-30
0.03099880726873435,-0.00929654186971102,-0.02146092518419999,2016-10-31
0.0352980826778183,-0.013069122641266218,-0.021230899465245947,2016-11-30
0.03705388474358588,-0.014807872053365848,-0.02100072114514038,2016-12-30
